one,three,MW,lambdas,sigmas,q,bondlength,bondk,angle,anglek,omega,alpha
R,ARG,156.19,0.7407902764839954,0.656,1,0.38,0,0,0,0.74,0
D,ASP,115.09,0.092587557536158,0.558,-1,0.38,0,0,0,-0.4,0
N,ASN,114.1,0.3706962163690402,0.568,0,0.38,0,0,0,0.37,0
E,GLU,129.11,0.000249590539426,0.592,-1,0.38,0,0,0,-0.4,0
K,LYS,128.17,0.1380602542039267,0.636,1,0.38,0,0,0,-0.4,0
H,HIS,137.14,0.4087176216525476,0.608,0,0.38,0,0,0,0.4,0
Q,GLN,128.13,0.3143449791669133,0.602,0,0.38,0,0,0,0.31,0
S,SER,87.08,0.4473142572693176,0.518,0,0.38,0,0,0,0.45,0
C,CYS,103.14,0.5922529084601322,0.548,0,0.38,0,0,0,0.59,0
G,GLY,57.05,0.7538308115197386,0.45,0,0.38,0,0,0,0.75,0
T,THR,101.11,0.2672387936544146,0.562,0,0.38,0,0,0,0.26,0
A,ALA,71.07,0.3377244362031627,0.504,0,0.38,0,0,0,0.33,0
M,MET,131.2,0.5170874160398543,0.618,0,0.38,0,0,0,0.52,0
Y,TYR,163.18,0.950628687301107,0.646,0,0.38,0,0,0,0.95,0
V,VAL,99.13,0.2936174211771383,0.586,0,0.38,0,0,0,0.29,0
W,TRP,186.22,1.033450123574512,0.678,0,0.38,0,0,0,1.03,0
L,LEU,113.16,0.5548615312993875,0.618,0,0.38,0,0,0,0.55,0
I,ILE,113.16,0.5130398874425708,0.618,0,0.38,0,0,0,0.51,0
P,PRO,97.12,0.3469777523519372,0.556,0,0.38,0,0,0,0.35,0
F,PHE,147.18,0.8906449355499866,0.636,0,0.38,0,0,0,0.89,0
B,SER,88.08,0.447,0.588,0,0.442,8830,2.24,8.0,-2,0
=,ETH,45.08,0.506,0.438,1,0.356,4670,1.89,4.6,-1,0
O,CHO,87.16,0.437,0.650,1,0.402,2005,2.46,3.7,-1,0
J,PHO,108.99,0.478,0.578,-1,0.471,1894,3.125,6.5,-1,0
U,MID,143.12,0.469,0.507,0,0.465,2367,3.125,9.8,-.5,0
Z,TPO,140.26,1.70,0.72,0,0.53,1156,3.125,4.9,1.2,0
X,TDO,148.94,1.68,0.72,0,0.52,1317,3.125,4.5,1.2,0
#,TDP,131.59,1.85,0.71,0,0.53,2129,3.125,9.4,1.2,0
&,TDM,112.89,2.69,0.73,0,0.66,1229,3.125,10.1,1.2,0
                                                                                                                                                 1,1           All
